id,prodName,prodCatid,prodCat,prodPcatid,prodPcat,lowPrice,highPrice,avgPrice,place,specInfo,unitInfo,pubDate,status,userIdCreate,userIdModified,userCreate,userModified,gmtCreate,gmtModified
1391332,阿克苏,1187,水果,,苹果类,4.5,6.0,5.25,新疆,冰糖心,斤,2023-01-20 00:00:00,,138,,admin,,,
1391331,国光,1187,水果,,苹果类,2.8,3.6,3.2,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391330,王林,1187,水果,,苹果类,3.0,3.5,3.25,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391329,寒富苹果,1187,水果,,苹果类,2.5,3.0,2.75,辽宁,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391328,阳光玫瑰,1187,水果,,葡萄类,10.0,25.0,17.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391327,克伦生,1187,水果,,葡萄类,6.0,12.0,9.0,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391326,红宝石,1187,水果,,葡萄类,5.5,9.5,7.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391325,红提,1187,水果,,葡萄类,7.0,8.0,7.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391324,辽峰,1187,水果,,葡萄类,8.0,12.0,10.0,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391323,巨峰,1187,水果,,葡萄类,3.5,4.5,4.0,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391322,台农,1187,水果,,芒果类,8.0,8.0,8.0,,小,斤,2023-01-20 00:00:00,,138,,admin,,,
1391321,台农,1187,水果,,芒果类,9.0,10.0,9.5,,大,斤,2023-01-20 00:00:00,,138,,admin,,,
1391320,青皮芒,1187,水果,,芒果类,7.0,8.0,7.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391319,凯特,1187,水果,,芒果类,8.0,10.0,9.0,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391318,高乐蜜,1187,水果,,芒果类,8.0,9.0,8.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391317,水仙芒,1187,水果,,芒果类,9.0,10.0,9.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391316,白条猪,1189,肉禽蛋,1205,猪肉类,10.0,10.0,10.0,,瘦,斤,2023-01-20 00:00:00,,138,,admin,,,
1391315,白条猪,1189,肉禽蛋,1205,猪肉类,7.5,7.5,7.5,,肥,斤,2023-01-20 00:00:00,,138,,admin,,,
1391314,前臀尖,1189,肉禽蛋,1205,猪肉类,9.0,9.5,9.25,,瘦,斤,2023-01-20 00:00:00,,138,,admin,,,
1391313,前臀尖,1189,肉禽蛋,1205,猪肉类,7.5,9.0,8.25,,肥,斤,2023-01-20 00:00:00,,138,,admin,,,
1391352,无籽小号-大号,1187,水果,,西瓜类,3.8,4.0,3.9,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391351,麒麟,1187,水果,,西瓜类,4.2,5.5,4.85,,甜蜜蜜,斤,2023-01-20 00:00:00,,138,,admin,,,
1391350,黑美人,1187,水果,,西瓜类,3.4,3.6,3.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391349,特小凤,1187,水果,,西瓜类,5.0,5.1,5.05,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391348,甜王,1187,水果,,西瓜类,2.8,3.2,3.0,,91,斤,2023-01-20 00:00:00,,138,,admin,,,
1391347,国产香蕉,1187,水果,,香蕉类,4.0,4.5,4.25,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391346,南美、菲律宾香蕉,1187,水果,,香蕉类,3.8,5.2,4.5,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391345,泰国香蕉,1187,水果,,香蕉类,15.0,17.0,16.0,,帝王蕉,斤,2023-01-20 00:00:00,,138,,admin,,,
1391344,晓蜜25号,1187,水果,,甜瓜类,3.0,3.8,3.4,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391343,玉菇,1187,水果,,甜瓜类,3.0,3.5,3.25,,奶香蜜,斤,2023-01-20 00:00:00,,138,,admin,,,
1391342,网纹,1187,水果,,甜瓜类,4.5,5.5,5.0,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391341,久红瑞,1187,水果,,甜瓜类,3.0,3.5,3.25,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391340,羊角蜜,1187,水果,,甜瓜类,6.0,7.0,6.5,,六一,斤,2023-01-20 00:00:00,,138,,admin,,,
1391339,绿宝甜瓜,1187,水果,,甜瓜类,5.5,6.0,5.75,,,斤,2023-01-20 00:00:00,,138,,admin,,,
1391338,博阳,1187,水果,,甜瓜类,5.5,6.0,5.75,,系列,斤,2023-01-20 00:00:00,,138,,admin,,,
1391337,富士,1187,水果,,苹果类,3.0,4.0,3.5,,纸袋Φ70-84,斤,2023-01-20 00:00:00,,138,,admin,,,
1391336,富士,1187,水果,,苹果类,3.5,5.5,4.5,,纸袋Φ85以上,斤,2023-01-20 00:00:00,,138,,admin,,,
