碧园香樟林 4室2厅 北,碧园香樟林 ,3,802元/平,49.5万
业主诚意出售装修好的九里香联排别墅,九里香堤 ,5,841元/平,123万
带车位。小区地段好，配套齐全，1800亩公园就在家门口,彰泰城市一号 ,6,946元/平,63万
湖景房，视野无遮挡，采光好。中间好楼层,花样年•麓湖国际 ,4,485元/平,36万
一院两馆 公园旁 彰泰公园一号 三房 好楼层 视野开阔,彰泰公园1号 ,4,368元/平,54.6万
山水凤凰城户型方正，三面采光精装好房，值得拥有,山水凤凰城 ,4,927元/平,63.8万
碧桂园精装修三房两厅两卫直接拎包入住,桂林碧桂园 ,5,631元/平,67万
吾悦广场旁汇荣桂林桂林，刚需三房两卫，新装修未入住,汇荣•桂林桂林 ,6,312元/平,54.8万
临桂新区 冰雪公园旁 精通伊顿 精装4房 中间楼层,精通伊顿国际 ,5,025元/平,61.8万
世纪大道旁！联排别墅！带院子地下室车位！,桂林长岛16区 ,5,846元/平,148万
桂林市麓湖国际3房诚心出售，有证，随时可以过户交易,花样年•麓湖国际 ,4,221元/平,37万
22W买桂康三房，出行方便，配套设施齐全,鸿湖居民区 ,2,785元/平,21.8万
万达旁碧园印象桂林精装小高层三房,碧园•印象桂林 ,4,787元/平,54万
国际西苑 4室2厅 南,国际西苑 ,4,179元/平,60.8万
精装3房中间楼层，采光通风好视野开阔,慧佳城 ,5,024元/平,46.5万
花样年.麓湖国际 看湖看山 清水3房  有证无贷 45万！,花样年•麓湖国际 ,3,923元/平,34.5万
麓湖优质三房，配套齐全，交通便利,花样年•麓湖国际 ,4,185元/平,42万
麓湖国际 中间楼层 有证无贷 诚心出售 必看好房,花样年•麓湖国际 ,4,381元/平,50万
桂林碧桂园 4室2厅 南,桂林碧桂园 ,5,291元/平,76万
吾悦广场旁汇荣桂林桂林天玺组团，小高层，4房,汇荣•桂林桂林 ,5,322元/平,66万
位于临桂新龙路与奥园路，房子户型方正，采光充足。,精通伊顿国际 ,5,135元/平,62.8万
朝向属南、采光好、户型方正、可随时看房,丽泽佳园 ,3,721元/平,33万
彰泰艳澜山精装修三房拎包入住随时过户,彰泰滟澜山 ,6,000元/平,46.8万
房东在外地居住房子空置多年证件齐全无抵押价格好商量,冠信幸福美地 ,3,451元/平,49万
兴汇城 4室2厅 南 北,兴汇城 ,4,938元/平,68.8万
兴荣郡户型方正，利用率高，让生活更加舒适,急售！！,兴荣郡 ,4,254元/平,33.6万
奥 林 匹 克 简 装 三房出售,奥林匹克花园悉尼蓝湾 ,4,731元/平,50.8万
房东着急出售麓湖国际大3房户型方正,花样年•麓湖国际 ,3,883元/平,39万
临桂精装两房便宜出售！满五唯一带车位！,祥和雅居 ,4,337元/平,30万
碧园印象桂林二房两厅一厨一卫，精装，拎包入住,碧园•印象桂林 ,4,417元/平,32.5万
碧园印象桂林小高层电梯楼精装两房,碧园•印象桂林 ,4,387元/平,33万
三面采光，好楼层，户型方正，29万置一个家,彰泰滟澜山 ,4,583元/平,28万
房子视野宽广，前面全无遮挡，中间楼层采光充足，,里约湖岸 ,3,803元/平,35.8万
