肖申克的救赎, 弗兰克·德拉邦特 Frank Darabont&nbsp,2775207人评价
霸王别姬, 陈凯歌 Kaige Chen&nbsp,2054864人评价
阿甘正传, 罗伯特·泽米吉斯 Robert Zemeckis&nbsp,2080864人评价
泰坦尼克号, 詹姆斯·卡梅隆 James Cameron&nbsp,2041794人评价
这个杀手不太冷, 吕克·贝松 Luc Besson&nbsp,2218087人评价
美丽人生, 罗伯托·贝尼尼 Roberto Benigni&nbsp,1278897人评价
千与千寻, 宫崎骏 Hayao Miyazaki&nbsp,2155313人评价
辛德勒的名单, 史蒂文·斯皮尔伯格 Steven Spielberg&nbsp,1065828人评价
盗梦空间, 克里斯托弗·诺兰 Christopher Nolan&nbsp,1988629人评价
星际穿越, 克里斯托弗·诺兰 Christopher Nolan&nbsp,1733618人评价
楚门的世界, 彼得·威尔 Peter Weir&nbsp,1620316人评价
海上钢琴师, 朱塞佩·托纳多雷 Giuseppe Tornatore&nbsp,1620128人评价
三傻大闹宝莱坞, 拉库马·希拉尼 Rajkumar Hirani&nbsp,1797353人评价
放牛班的春天, 克里斯托夫·巴拉蒂 Christophe Barratier&nbsp,1265794人评价
机器人总动员, 安德鲁·斯坦顿 Andrew Stanton&nbsp,1270745人评价
无间道, 刘伟强 / 麦兆辉&nbsp,1303580人评价
疯狂动物城, 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore&nbsp,1843794人评价
控方证人, 比利·怀尔德 Billy Wilder&nbsp,518690人评价
大话西游之大圣娶亲, 刘镇伟 Jeffrey Lau&nbsp,1478197人评价
熔炉, 黄东赫 Dong-hyuk Hwang&nbsp,900615人评价
教父, 弗朗西斯·福特·科波拉 Francis Ford Coppola&nbsp,926392人评价
当幸福来敲门, 加布里尔·穆奇诺 Gabriele Muccino&nbsp,1467045人评价
触不可及, 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano&nbsp,1061120人评价
怦然心动, 罗伯·莱纳 Rob Reiner&nbsp,1766338人评价
