书名,简介,出版社
阅读是砍向我们内心冰封大海的斧头:卡夫卡谈话录,[奥地利]弗朗茨·卡夫卡  口述；果麦文化  出品；[捷克]古斯塔夫·雅诺施 记述,天津人民出版社
羌在汉藏之间：川西羌族的历史人类学研究（《华夏边缘》作者王明珂经典力作，川西羌族全解）,王明珂  著,上海人民出版社
吹口哨的女人（王安忆、麦家等一致推荐拜厄特！“女人吹哨，母鸡打鸣，亵渎上帝，祸害男人。”自由女性不可不读的文学经典）,读客文化  出品；[英]A.S.拜厄特（A.S.BYATT）,文汇出版社
（哲学与流行文化丛书）《蝙蝠侠》与哲学,罗伯特·阿尔普（Robert Arp）  主编；郑钧庭  译；[美]马克·D. 怀特（Mark D. White）,南京大学出版社
读水浒：人性的十三种刻度,押沙龙  著；果麦文化  出品,三秦出版社
镰刀与城市：以上海为例的死亡社会史研究,[法]安克强（Christian Henriot）  著；刘喆  译,上海社会科学院出版社
万有引力书系：穿过一条街道的方法：无穷大简史,[美]大卫·福斯特·华莱士,广东人民出版社
他为什么打我：家庭暴力的识别与自救,[美]伦迪·班克罗夫特,北京联合出版有限公司
刻板印象,克劳德斯蒂尔  著,民主与建设出版社
命运之痒：蚊子如何塑造人类历史,蒂莫西·C·瓦恩加德,中信出版社
里约折叠：追击贫民窟毒枭,[英]米沙·格兰尼  著；理想国  出品,海南出版社
名画中的马  （百项设计奖得主安格斯·海兰倾心之作）【浦睿文化出品】,[英]安格斯·海兰 (英)卡洛琳·罗伯茨  著；顾冰珂  译,湖南美术出版社
茶叶与鸦片——十九世纪经济全球化中的中国(精),仲伟民  著,中华书局
叙事人生：小说精读课,李杭媛  著,广州出版社
新加坡：不可思议的崛起,约翰·柯蒂斯·佩里（John Curtis Perry）,九州出版社
吠月：萩原朔太郎诗集,萩原朔太郎,北京联合出版有限公司
易代：侯岐曾和他的亲友们（修订本）,周绚隆  著,广西师范大学出版社
诗经地理,丘濂  著,生活.读书.新知三联书店
到后台看历史卸妆,葛兆光,四川人民出版社
不对称,[美]莉萨·哈利迪  著；理想国  出品,河南文艺出版社
居酒屋的诞生,[日]饭野亮一  著；王晓婷  译,上海人民出版社
希区柯克传,彼得·阿克罗伊德,北京联合出版有限公司
中国日记：一个巴西人眼里的真实中国,弗朗西斯科·福特·哈德曼,北京大学出版社
如何读中国瓷：大都会艺术博物馆藏中国陶瓷精品导览,李丹丽,北京大学出版社
王莽：儒家理想的信徒,[日]东 晋次,四川人民出版社
别人的动物园,[德]扬·莫恩浩特  著；张骥  译；凤凰联动  出品,江苏凤凰文艺出版社
潮汐图（新锐女作家林棹全新长篇）,林棹,上海文艺出版社
如何阅读福柯,[芬兰]约翰娜· 奥克萨拉,北京联合出版有限公司
当经济遇上法律：明清中国的市场演化,邱澎生,浙江大学出版社
孤独社会,[日]菅野久美子,北京时代华文书局
蚁群,汤问棘,上海社会科学院出版社
价格革命：一部全新的世界史（《阿尔比恩的种子》作者大卫·哈克特·费舍尔集大成之作）,大卫·哈克特·费舍尔  著；X. Li  译；一页folio  出品,广西师范大学出版社
身体·宇宙：身体在西方现当代诗歌中的形象（名家文学讲坛）,[法]米歇尔·高罗  著；朱江月  译,译林出版社
如何离开地球表面： 人类航空航天小史,卢西  著；理想国  出品,北京日报出版社（原同心出版社）
山水天地间：郭熙《早春图》中的世界观,渠敬东,生活.读书.新知三联书店
齐梁皇室的佛教信仰与撰述（中国人民大学古代特色文献文学研究丛书·平装）,李猛  著,中华书局
波德莱尔传,Pichois) (法)让·齐格勒  著；董强  译；[法]克洛德·皮舒瓦(Claude,商务印书馆
革命的形成：清季十年的转折,罗志田,商务印书馆
人文与社会译丛：废墟上的未来：联合国教科文组织、世界遗产与和平之梦,[澳大利亚]林恩·梅斯克尔  著；王丹阳、胡牧  译,译林出版社
寻鲸记(自然文库),Hoare  著；傅临春  译；[英]菲利普·霍尔(Philip,商务印书馆
法治的细节,果麦文化  出品；罗翔,云南人民出版社
再见那闪耀的群星: 唐诗二十家,景凯旋  著,南京大学出版社
礼仪中国,海英  著,北京师范大学出版社
寻踪索姆河（村上春树、许知远推崇备至的英国作家，一部经典的大战沉思录）,[英]杰夫·戴尔,浙江文艺出版社
沉默的钢钉：铸就美国铁路奇迹的中国劳工,[美]张少书,文化发展出版社
大萧条前夜的繁荣与疯狂（100年来不断重演的经济危机，都能在1929年大萧条中找到原因!人体简史作者比尔·布莱森力作！）,读客文化  出品；[英]比尔·布莱森（Bill Bryson）,江苏凤凰文艺出版社
口袋美术馆：如果看画有方法,[英]苏珊·伍德福德  著；钱乘旦  译；未读  出品,北京联合出版有限公司
奇妙物种在云南：生物多样性之美,云南日报传媒集团 云南网  主编,广西师范大学出版社
顿悟与启迪 : 卡罗尔·希尔兹谈写作（普利策文学奖得主加拿大女作家卡罗尔·希尔兹的私家写作课，从一字一句开始教你如何写出自己的故事）,卡罗尔·希尔兹,人民文学出版社
八旗心象：旗人文学、情感与社会（1840-1949）,刘大先  著,社会科学文献出版社
